project,class_name,method_name,extract_lines,identifier,,,,,,,,,,,,,,,,,,,,,
freeplane,StyleSheetConfigurer,resetStyles,13-19,"public static void resetStyles(StyleSheet parent,  int keptChildCount)",,,,,,,,,,,,,,,,,,,,,
freeplane,CssRuleBuilder,withMaxWidthAsPt,1-6,"public CssRuleBuilder withMaxWidthAsPt(float zoom, Quantity<?>... widths)",,,,,,,,,,,,,,,,,,,,,
freeplane,ScaledEditorKit,createDefaultDocument,4-10,public Document createDefaultDocument(JLabel c),,,,,,,,,,,,,,,,,,,,,
freeplane,ScaledEditorKit,createDefaultDocument,1-3,public Document createDefaultDocument(),,,,,,,,,,,,,,,,,,,,,
freeplane,ScaledHTML,createHTMLView,7-11,"static Renderer createHTMLView(JLabel c, String html)",,,,,,,,,,,,,,,,,,,,,
freeplane,CssRuleBuilder,withCSSFont,2-3,"public CssRuleBuilder withCSSFont(Font font, float fontScaleFactor)",,,,,,,,,,,,,,,,,,,,,
freeplane,CssRuleBuilder,withHTMLFont,2-3,"public CssRuleBuilder withHTMLFont(Font font, float fontScaleFactor)",,,,,,,,,,,,,,,,,,,,,
freeplane,Renderer,initialize,2-3,private void initialize(),,,,,,,,,,,,,,,,,,,,,
freeplane,Renderer,preferenceChanged,2,"public void preferenceChanged(View child, boolean width, boolean height)",,,,,,,,,,,,,,,,,,,,,
freeplane,UIComponentVisibilityDispatcher,makeComponentVisible,4-7,private void makeComponentVisible(final boolean visible),,,,,,,,,,,,,,,,,,,,,
freeplane,OneTouchCollapseResizer,paintComponent,3;7-8;10;16-17,public void paintComponent(Graphics g),,,,,,,,,,,,,,,,,,,,,
freeplane,OneTouchCollapseResizer,setDividerSize,2;3;5;7;8;12,private void setDividerSize(int size),,,,,,,,,,,,,,,,,,,,,
freeplane,OneTouchCollapseResizer,paintComponent,6-8;14;21,public void paintComponent(Graphics g),,,,,,,,,,,,,,,,,,,,,
freeplane,OneTouchCollapseResizer,setExpanded,1;24,void setExpanded(boolean expanded),,,,,,,,,,,,,,,,,,,,,
freeplane,TranslatedElementFactory,createTooltip,1-4,"public static void createTooltip(JComponent component, String labelKey)",,,,,,,,,,,,,,,,,,,,,
freeplane,TranslatedElementFactory,createTitledBorder,1-2,"public static void createTitledBorder(JComponent component, String labelKey)",,,,,,,,,,,,,,,,,,,,,
freeplane,UITextChanger,createDisplayedComponents,5;7-10;15;17,private Component[] createDisplayedComponents(ArrayList<JTextField> textFields),,,,,,,,,,,,,,,,,,,,,
freeplane,UITextChanger,replaceComponentTexts,1-3,private void replaceComponentTexts(JComponent c),,,,,,,,,,,,,,,,,,,,,
freeplane,UITextChanger,setEditedText,1-4;6-9;12;15-18,"private void setEditedText(JComponent component, JTextField textField)",,,,,,,,,,,,,,,,,,,,,
freeplane,UndoHandler,addActor,23-30,public void addActor(final IActor actor),,,,,,,,,,,,,,,,,,,,,
freeplane,SelectionActor,restoreSelection,8-11,private void restoreSelection(),,,,,,,,,,,,,,,,,,,,,
freeplane,UndoHandler,addActor,18-20,public void addActor(final IActor actor),,,,,,,,,,,,,,,,,,,,,
freeplane,UndoHandler,resetRedo,1-4,public void resetRedo(),,,,,,,,,,,,,,,,,,,,,
freeplane,CompoundActor,undo,2-4,public void undo(),,,,,,,,,,,,,,,,,,,,,
freeplane,UndoHandler,commit,10-13,public void commit(),,,,,,,,,,,,,,,,,,,,,
freeplane,ErrorLogButton,showButtonNow,1-12,private static void showButtonNow(final ViewController viewController),,,,,,,,,,,,,,,,,,,,,
freeplane,ErrorLogButton,showButton,1;2;5;8-13,public static void showButton(),,,,,,,,,,,,,,,,,,,,,
freeplane,ClipboardAccessor,setClipboardContents,1-4;5-8,public void setClipboardContents(final Transferable t),,,,,,,,,,,,,,,,,,,,,
freeplane,MEncryptionController,install,2-6,public static void install(MEncryptionController encryptionController),,,,,,,,,,,,,,,,,,,,,
freeplane,EncryptedMap,getUsersPassword,1-3,private StringBuilder getUsersPassword(),,,,,,,,,,,,,,,,,,,,,
freeplane,MEncryptionController,removeEncryption,1;5-6,"public void removeEncryption(final NodeModel node, final PasswordStrategy passwordStrategy)",,,,,,,,,,,,,,,,,,,,,
freeplane,MMapExplorerController,setAlias,4-26,"public void setAlias(final NodeModel node, final String alias)",,,,,,,,,,,,,,,,,,,,,
freeplane,SetNodeAlias,actionPerformed,1-3;5-6;9;13-15,public void actionPerformed(final ActionEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,AboutAction,actionPerformed,1-11,public void actionPerformed(final ActionEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,AboutAction,addMessage,1-11,"private void addMessage(Box box, String text)",,,,,,,,,,,,,,,,,,,,,
freeplane,FilePropertiesAction,actionPerformed,51-60;116-121;130-135;181-186;194-199,public void actionPerformed(final ActionEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,HotKeyInfoAction,actionPerformed,3-8,public void actionPerformed(ActionEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,IconStoreFactory,createClassicIcons,3-13,private void createClassicIcons(),,,,,,,,,,,,,,,,,,,,,
freeplane,EmojiGroupBuilder,visit,11-12,public void visit(Entry entry),,,,,,,,,,,,,,,,,,,,,
freeplane,LinkDecorationConfig,loadRules,12-15;2-11,private Void loadRules(),,,,,,,,,,,,,,,,,,,,,
freeplane,MapIO,install,1-3,public static void install(ModeController modeController),,,,,,,,,,,,,,,,,,,,,
freeplane,MMapIO,install,4-6,public static void install(MModeController modeController),,,,,,,,,,,,,,,,,,,,,
freeplane,MModeController,createOptionPanelControls,1-38,public void createOptionPanelControls(),,,,,,,,,,,,,,,,,,,,,
freeplane,SaveAcceleratorPresetsAction,inputPresetName,1-6,private String inputPresetName(final File acceleratorsUserDirectory),,,,,,,,,,,,,,,,,,,,,
freeplane,MModeController,createActions,1-4,createOptionPanelControls,,,,,,,,,,,,,,,,,,,,,
freeplane,RedoAction,reset,1-3,public void reset(),,,,,,,,,,,,,,,,,,,,,
freeplane,SaveAcceleratorPresetsAction,inputPresetName,9-10;17,private String inputPresetName(final File acceleratorsUserDirectory),,,,,,,,,,,,,,,,,,,,,
freeplane,UndoAction,afterMapChange,2-4;11-12;15,"public void afterMapChange(final MapModel oldMap, final MapModel newMap)",,,,,,,,,,,,,,,,,,,,,
freeplane,RedoAction,actionPerformed,3-5;7,public void actionPerformed(final ActionEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,AcceleratorPresetsBuilder,visit,18-23,public void visit(Entry target),,,,,,,,,,,,,,,,,,,,,
freeplane,StyleCopier,remove,4-8,"public void remove(Object key, NodeModel from)",,,,,,,,,,,,,,,,,,,,,
freeplane,MLocationController,moveNodePosition,3-5,"public void moveNodePosition(final NodeModel node, final Quantity<LengthUnit> hGap, final Quantity<LengthUnit> shiftY)",,,,,,,,,,,,,,,,,,,,,
freeplane,StyleCopier,copy,6-8,"public void copy(Object key, NodeModel from, NodeModel to)",,,,,,,,,,,,,,,,,,,,,
freeplane,SpellCheckerController,addSpellCheckerMenu,4-5,public void addSpellCheckerMenu(final JPopupMenu popupMenu),,,,,,,,,,,,,,,,,,,,,
freeplane,SpellCheckerController,init,14-24,private void init(),,,,,,,,,,,,,,,,,,,,,
freeplane,TimeComboBoxEditor,updateDate,1-4,private void updateDate(),,,,,,,,,,,,,,,,,,,,,
freeplane,UrlManager,getAbsoluteFile,5-20,"public File getAbsoluteFile(final MapModel map, final URI uri)",,,,,,,,,,,,,,,,,,,,,
freeplane,MapVersionInterpreter,getDialectInfo,1-9;11-15,public String getDialectInfo(String path),,,,,,,,,,,,,,,,,,,,,
freeplane,FreeplaneUriConverter,fixPartiallyDecodedFreeplaneUriComingFromInternetExplorer,3-5,public String fixPartiallyDecodedFreeplaneUriComingFromInternetExplorer(String uriCandidate),,,,,,,,,,,,,,,,,,,,,
freeplane,UrlManager,handleLoadingException,1-3,public void handleLoadingException(final Exception ex),,,,,,,,,,,,,,,,,,,,,
freeplane,UrlManager,loadCatchExceptions,1-2,"public boolean loadCatchExceptions(final URL url, final MapModel map)",,,,,,,,,,,,,,,,,,,,,
freeplane,UrlManager,loadMap,12-13,public void loadMap(String map),,,,,,,,,,,,,,,,,,,,,
freeplane,UrlManager,selectNode,2-6,"public void selectNode(NodeModel start, final String localReference)",,,,,,,,,,,,,,,,,,,,,
freeplane,FreeplaneUriConverter,fixPartiallyDecodedFreeplaneUriComingFromInternetExplorer,3-9,public String fixPartiallyDecodedFreeplaneUriComingFromInternetExplorer(String uriCandidate),,,,,,,,,,,,,,,,,,,,,
freeplane,AppletViewController,init,7-15,public void init(Controller controller),,,,,,,,,,,,,,,,,,,,,
freeplane,FreeplaneApplet,configureFrame,3-10,private void configureFrame(),,,,,,,,,,,,,,,,,,,,,
freeplane,AppletViewController,init,1-3,public void init(Controller controller),,,,,,,,,,,,,,,,,,,,,
freeplane,AppletViewController,insertComponentIntoSplitPane,4;6-7,public void insertComponentIntoSplitPane(final JComponent pMindMapComponent),,,,,,,,,,,,,,,,,,,,,
freeplane,BModeControllerFactory,createModeController,1-6;28-35,static public BModeController createModeController(),,,,,,,,,,,,,,,,,,,,,
freeplane,AppletViewController,removeSplitPane,2-3,public void removeSplitPane(),,,,,,,,,,,,,,,,,,,,,
freeplane,FreeplaneApplet,setWaitingCursor,1-3;7,public void setWaitingCursor(final boolean waiting),,,,,,,,,,,,,,,,,,,,,
freeplane,SurveyRunner,runServey,17-50,"public void runServey(String id, String title, String question, String surveyUrl)",,,,,,,,,,,,,,,,,,,,,
freeplane,FModeControllerFactory,createModeController,1-6;27-34,static public FModeController createModeController(),,,,,,,,,,,,,,,,,,,,,
freeplane,MModeControllerFactory,createAttributesPanel,1-31,private JComponent createAttributesPanel(),,,,,,,,,,,,,,,,,,,,,
freeplane,MModeControllerFactory,createAddIns,14-18;25-33;35-39;42-43,private void createAddIns(),,,,,,,,,,,,,,,,,,,,,
freeplane,UpdateCheckAction,checkForAddonsUpdates,4-28,private void checkForAddonsUpdates(),,,,,,,,,,,,,,,,,,,,,
freeplane,HttpVersionClient,parseHistory,3-8;13;15-17,"private void parseHistory(final URL url, final FreeplaneVersion currentVersion)",,,,,,,,,,,,,,,,,,,,,
freeplane,UpdateCheckAction,showUpdateDialog,169-174;180183;85-86,"private int showUpdateDialog(final String info, final FreeplaneVersion freeplaneLatestVersion, final String history, String language)",,,,,,,,,,,,,,,,,,,,,
freeplane,UpdateCheckAction,checkForUpdates,14-16;28-29,private void checkForUpdates(final boolean autoRun),,,,,,,,,,,,,,,,,,,,,
freeplane,UpdateCheckAction,updateButton,11-12;8,private void updateButton(final FreeplaneVersion lastVersion),,,,,,,,,,,,,,,,,,,,,
freeplane,UpdateCheckAction,actionPerformed,2-3,public void actionPerformed(final ActionEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,UpdateCheckAction,setTimer,9-12;15-17,private void setTimer(),,,,,,,,,,,,,,,,,,,,,
freeplane,FitToPage,zoom,1-9,private void zoom(),,,,,,,,,,,,,,,,,,,,,
freeplane,TimerColorChanger,onRemove,3-5,public void onRemove(final MapModel map),,,,,,,,,,,,,,,,,,,,,
freeplane,BlinkingNodeHook,remove,1;3-5,"public void remove(final NodeModel node, final IExtension extension)",,,,,,,,,,,,,,,,,,,,,
freeplane,NodeHistory,onNodeSelect,6-15,private void onNodeSelect(final NodeModel pNode),,,,,,,,,,,,,,,,,,,,,
freeplane,NodeHistory,go,3-5,"private void go(final boolean back, final boolean fast)",,,,,,,,,,,,,,,,,,,,,
freeplane,ProgressDownAction,setEnabled,1-9,public void setEnabled(),,,,,,,,,,,,,,,,,,,,,
freeplane,ProgressUpAction,setEnabled,1-9,public void setEnabled(),,,,,,,,,,,,,,,,,,,,,
freeplane,RemoveProgressAction,setEnabled,1-9,public void setEnabled(),,,,,,,,,,,,,,,,,,,,,
freeplane,ProgressIcons,updateProgressIcons,1;3-4;6-14,"public static void updateProgressIcons(final NodeModel node, final boolean up)",,,,,,,,,,,,,,,,,,,,,
freeplane,ConvexHull,doGraham,1-32,Vector<Point> doGraham(final Vector<Point> p),,,,,,,,,,,,,,,,,,,,,
freeplane,ArcCloudView,paintDecoration,1-7,"protected void paintDecoration(final Graphics2D g, final Graphics2D gstroke, final double x0, final double y0,final double x1, final double y1, double dx, double dy, double dxn, double dyn)",,,,,,,,,,,,,,,,,,,,,
freeplane,StarCloudView,paintDecoration,1-6;7-10,"protected void paintDecoration(final Graphics2D g, final Graphics2D gstroke, final double x0, final double y0, final double x1, final double y1, double dx, double dy, double dxn, double dyn)",,,,,,,,,,,,,,,,,,,,,
freeplane,CloudView,paintDecoration,25-28;1;4-6,"protected void paintDecoration(Graphics2D g, Graphics2D gstroke)",,,,,,,,,,,,,,,,,,,,,
freeplane,SharpLinearEdgeView,detectCollision,1-12,public boolean detectCollision(final Point p),,,,,,,,,,,,,,,,,,,,,
freeplane,HorizontalEdgeView,createStart,9-12,protected void createStart(),,,,,,,,,,,,,,,,,,,,,
freeplane,SummaryEdgeView,update,17-21;7-12,private Shape update(),,,,,,,,,,,,,,,,,,,,,
freeplane,OutlineEdgeView,drawWeeks,7-9,protected void draw(final Graphics2D g),,,,,,,,,,,,,,,,,,,,,
freeplane,EdgeView,getControlPoint,1;3;4;7;8;11;12;15;16;20,protected Point getControlPoint(ConnectorLocation startConnectorLocation),,,,,,,,,,,,,,,,,,,,,
freeplane,HorizontalEdgeView,draw,1-10,protected void draw(final Graphics2D g),,,,,,,,,,,,,,,,,,,,,
freeplane,EdgeView,createStart,65-73,protected void createStart(),,,,,,,,,,,,,,,,,,,,,
freeplane,SharpBezierEdgeView,update,1-5;14,private GeneralPath update(),,,,,,,,,,,,,,,,,,,,,
freeplane,ConnectorView,getCenterPoint,20-26,private Point getCenterPoint(),,,,,,,,,,,,,,,,,,,,,
freeplane,ConnectorView,drawLabels,2-6;14-16,"private void drawLabels(final Graphics2D g, Point startPoint, Point startPoint2, Point endPoint2, Point endPoint)",,,,,,,,,,,,,,,,,,,,,
freeplane,ConnectorView,getModeController,1-4,private ModeController getModeController(),,,,,,,,,,,,,,,,,,,,,
freeplane,OutlineLinkView,createStart,3-4,protected void createStart(),,,,,,,,,,,,,,,,,,,,,
freeplane,ConnectorView,increaseBounds,1;5-12,public void increaseBounds(final Rectangle innerBounds),,,,,,,,,,,,,,,,,,,,,
freeplane,ConnectorView,drawEndPointText,4;6;14-21,"private Rectangle drawEndPointText(final Graphics2D g, final String text, final Point endPoint, final Point controlPoint)",,,,,,,,,,,,,,,,,,,,,
freeplane,CollisionDetector,distanceToLineSegment,1-11,"private double distanceToLineSegment(double x1, double y1, double x2, double y2, double px, double py)",,,,,,,,,,,,,,,,,,,,,
freeplane,ConnectorView,paint,42-44;32-34,public void paint(final Graphics graphics),,,,,,,,,,,,,,,,,,,,,
freeplane,AConnectorView,createArrowDirection,8-10,"private Point2D createArrowDirection(final Point from, final Point to, final double size)",,,,,,,,,,,,,,,,,,,,,
freeplane,ConnectorView,getCenterPoint,15-18,private Point getCenterPoint(),,,,,,,,,,,,,,,,,,,,,
freeplane,PathBBox,findCubicZeros,1-12,"private static int findCubicZeros(final double zeros[], final double cur, final double cp0, final double cp1, final double end)",,,,,,,,,,,,,,,,,,,,,
freeplane,PathBBox,getBBox,11;23;28-30;45-47,public static Rectangle2D getBBox(final Shape s),,,,,,,,,,,,,,,,,,,,,
freeplane,EditNodeTextField,createPopupMenu,14;20-37,protected JPopupMenu createPopupMenu(JComponent component),,,,,,,,,,,,,,,,,,,,,
freeplane,EditNodeTextField,show,211-216;219-224,public void show(final Window window),,,,,,,,,,,,,,,,,,,,,
freeplane,MMapViewController,createEditor,1-5;9-11,"public EditNodeBase createEditor(final NodeModel node, Object nodeProperty, Object content, final EditNodeBase.IEditControl editControl, final boolean editLong)",,,,,,,,,,,,,,,,,,,,,
freeplane,MMapViewController,saveModifiedIfNotCancelled,8-13,public boolean saveModifiedIfNotCancelled(final MapModel map),,,,,,,,,,,,,,,,,,,,,
freeplane,CharacterColorAction,actionPerformed,3-7,public void actionPerformed(ActionEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,TextFieldListener,conditionallyShowPopup,2-3;5-6,private void conditionallyShowPopup(final MouseEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,EditNodeTextField,setLineWrap,8-10,private void setLineWrap(),,,,,,,,,,,,,,,,,,,,,
freeplane,MMapViewController,saveAllModifiedMapsExcept,4-6,public boolean saveAllModifiedMapsExcept(MapModel mapToKeepOpen),,,,,,,,,,,,,,,,,,,,,
freeplane,EditNodeTextField,focusLost,10;16-33;35,public void focusLost(final FocusEvent e) {,,,,,,,,,,,,,,,,,,,,,
freeplane,EditNodeTextField,hideMe,4-6;15-16;23-25,private void hideMe(),,,,,,,,,,,,,,,,,,,,,
freeplane,TextFieldListener,conditionallyShowPopup,6,private void conditionallyShowPopup(final MouseEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,MapViewPane,calculateMapOverviewBounds,1-20,private Rectangle calculateMapOverviewBounds(),,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImageMouseHandler,scrollTo,14-33,"private void scrollTo(MapOverviewImage overview, Point newCenterPointOnOverview)",,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImageMouseHandler,mouseWheelMoved,8-14,public void mouseWheelMoved(MouseWheelEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImage,drawZoomLevel,1-5,private void drawZoomLevel(Graphics2D g2d),,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImage,highlightViewport,1-7,"private void highlightViewport(Graphics2D g2d, Rectangle mapInnerBounds, double scale, int overviewImageX, int overviewImageY)",,,,,,,,,,,,,,,,,,,,,
freeplane,MapViewPane,propertyChanged,12-15,"public void propertyChanged(String propertyName, String newValue, String oldValue)",,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImage,createOverviewImage,1-4,"private BufferedImage createOverviewImage(Rectangle mapInnerBounds, Rectangle overviewBounds, double scale)",,,,,,,,,,,,,,,,,,,,,
freeplane,MapViewPane,convertOriginByAttachPoint,21-22,private void convertOriginByAttachPoint(Rectangle bounds),,,,,,,,,,,,,,,,,,,,,
freeplane,MapViewPane,propertyChanged,6-7,"public void propertyChanged(String propertyName, String newValue, String oldValue)",,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImageMouseHandler,mouseWheelMoved,1-5;8-15,public void mouseWheelMoved(MouseWheelEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,MapViewPane,updateMapOverviewAttachPoint,1-6;8-12,public void updateMapOverviewAttachPoint(MapOverviewAttachPoint attachPoint),,,,,,,,,,,,,,,,,,,,,
freeplane,MapViewPane,updateMapOverview,1-2,private void updateMapOverview(),,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImage,createOverviewImage,6-9;15,"private BufferedImage createOverviewImage(Rectangle mapInnerBounds, Rectangle overviewBounds, double scale)",,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImage,paintComponent,1;3-8,protected void paintComponent(Graphics g),,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImage,drawZoomLevel,9-11,private void drawZoomLevel(Graphics2D g2d),,,,,,,,,,,,,,,,,,,,,
freeplane,MapOverviewImage,paintComponent,1-14,protected void paintComponent(Graphics g),,,,,,,,,,,,,,,,,,,,,
freeplane,ResizePanelMouseHandler,mouseDragged,4;8-10,public void mouseDragged(MouseEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,ResizePanelMouseHandler,mousePressed,1;4,public void mousePressed(MouseEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,ResizablePanelBorder,getResizeCursor,1-3;10,public Cursor getResizeCursor(MouseEvent e),,,,,,,,,,,,,,,,,,,,,
jgrapht,CapacityScalingMinimumCostFlow,init,57-68;17-18,private void init(),,,,,,,,,,,,,,,,,,,,,
jgrapht,Node,addArcTo,17-25,"Arc addArcTo(Node opposite, int capacity, double cost)",,,,,,,,,,,,,,,,,,,,,
jgrapht,"CapacityScalingMinimumCostFlow<V, E>",augmentPath,2-5;19;23,"private void augmentPath(Node start, Node end)",,,,,,,,,,,,,,,,,,,,,
jgrapht,"CapacityScalingMinimumCostFlow<V, E>",pushDijkstra,20-22;34-35;60,"private void pushDijkstra(Node start, Set<Node> negativeExcessNodes, int delta)",,,,,,,,,,,,,,,,,,,,,
jgrapht,"CapacityScalingMinimumCostFlow<V, E>",finish,12-21,private MinimumCostFlow<E> finish(),,,,,,,,,,,,,,,,,,,,,
jgrapht,Arc,decreaseResidualCapacity,8-12,private void decreaseResidualCapacity(int value),,,,,,,,,,,,,,,,,,,,,
jgrapht,"CapacityScalingMinimumCostFlow<V, E>",scale,24-32,"private Pair<List<Node>, Set<Node>> scale(int delta)",,,,,,,,,,,,,,,,,,,,,
jgrapht,Arc,increaseResidualCapacity,4-11,private void increaseResidualCapacity(int value),,,,,,,,,,,,,,,,,,,,,
jgrapht,Arc,decreaseResidualCapacity,8-12,private void decreaseResidualCapacity(int value),,,,,,,,,,,,,,,,,,,,,
jgrapht,ZhangShashaTreeEditDistance,treeDistance,43-64;73-80;83-95,"private void treeDistance(int i, int j, TreeOrdering ordering1, TreeOrdering ordering2)",,,,,,,,,,,,,,,,,,,,,
jgrapht,"DirectedSpecifics<V, E>",addEdgeToTouchingVerticesIfAbsent,2;10-11,"public boolean addEdgeToTouchingVerticesIfAbsent(V sourceVertex, V targetVertex, E e)",,,,,,,,,,,,,,,,,,,,,
jgrapht,"UndirectedSpecifics<V, E>",addEdgeToTouchingVerticesIfAbsent,2;10-11,"public boolean addEdgeToTouchingVerticesIfAbsent(V sourceVertex, V targetVertex, E e)",,,,,,,,,,,,,,,,,,,,,
jgrapht,"DirectedSpecifics<V, E>",createEdgeToTouchingVerticesIfAbsent,2;10-12,"public E createEdgeToTouchingVerticesIfAbsent( V sourceVertex, V targetVertex, Supplier<E> edgeSupplier)",,,,,,,,,,,,,,,,,,,,,
jgrapht,"UndirectedSpecifics<V, E>",createEdgeToTouchingVerticesIfAbsent,2;10-12,"public E createEdgeToTouchingVerticesIfAbsent( V sourceVertex, V targetVertex, Supplier<E> edgeSupplier)",,,,,,,,,,,,,,,,,,,,,
jgrapht,RadixSort,sort,12-26,public static void sort(List<Integer> list),,,,,,,,,,,,,,,,,,,,,
jgrapht,AVLTree<T>,addMaxNode,3-10,public void addMaxNode(TreeNode<T> newMax),,,,,,,,,,,,,,,,,,,,,
jgrapht,AVLTree<T>,addMinNode,2-9,public void addMinNode(TreeNode<T> newMin),,,,,,,,,,,,,,,,,,,,,
jgrapht,DoublyLinkedList<E>,invert,4-13,public void invert(),,,,,,,,,,,,,,,,,,,,,
jgrapht,AVLTree<T>,balance,4-11,"private void balance(TreeNode<T> node, TreeNode<T> stop)",,,,,,,,,,,,,,,,,,,,,
jgrapht,AVLTree<T>,mergeAfter,9-13,public void mergeAfter(AVLTree<T> tree),,,,,,,,,,,,,,,,,,,,,
jgrapht,AVLTree<T>,makeRoot,4-6,private void makeRoot(TreeNode<T> node),,,,,,,,,,,,,,,,,,,,,
jgrapht,ArrayUtil,reverse,2-4,"public static final void reverse(int[] arr, int from, int to)",,,,,,,,,,,,,,,,,,,,,
jgrapht,DoublyLinkedList<E>,removeListNode,3-5,private boolean removeListNode(ListNodeImpl<E> node),,,,,,,,,,,,,,,,,,,,,
